class_0,class_1,text
1,0,somehow blessed really amazing friends life love send encouragement im feeling awesome lucky
1,0,yay another good phone interview
1,0,17 deep last night amp love strong everybody felt even band love love love good ppl corner
1,0,lmao amazing
0,1,two words die year sexting jeggings die die die
1,0,today im grateful good food good wine good friends
0,1,damn running late sucks
1,0,opal divines fsn crew
0,1,ugh hate hate hate getting blood drawn
1,0,love love love hung trifecta awesome
0,1,stupid rain stupid treadmill hell
0,1,im starting wonder old landlord really owned building
1,0,im meeting im doings
0,1,damn mj died true loss
1,0,love feeling
1,0,ha ha funny today awesome tomorrow even better
1,0,going brave rainy walt disney world day find fun hopefully dry fun lol
1,0,photography season carlsbadistan pinhole time
1,0,found coolest tool combo pen tool pencil tool
0,1,piss rain piss hangover
1,0,side note super excited neil patrick harris award thats boy
0,1,another douchebag flight time hes bitching bag bitch bitch bitch
1,0,adams dream bcs oregon auburn tcu ou lsu boise 710 stay boises beat one
1,0,lol love
1,0,love new glee parenthood thank goodness homemade antenna works httpurlremoved
1,0,weather channel gonna start showing weatherrelated movies fridays guess weather slow fri nites
0,1,damn braves damn damn damn
1,0,learning valuable microsoft skills today
0,1,yeah head hurts gravity damn bitch
1,0,cross section wknds bounty exact time wv strawberries less crowded spots near dc httpurlremoved
1,0,thinking weekend need get bit think
1,0,east sixth supervising team bartlett
0,1,anger ugly
1,0,someone recommend good docbook xml editor preferably free thrilled serna xxe would like nice gui
1,0,stomach filled yay back road yay
1,0,long really fun weekend happy fun relationship feel good
1,0,wowser thanks good luck lovelies
1,0,wow
1,0,listen latest unerring pumped
0,1,applesauce bitch
1,0,wow love todays pcw httpurlremoved nice mix cute character designs funny punch line
1,0,love jewel shes beautiful
0,1,light end tunnel exit train
0,1,bored confused frustrated
1,0,repeat dcpromo friend dcpromo friend
1,0,hooray new opportunities
1,0,oh yay butler love florida loses
1,0,happy bday jim price awesome could dream hope today best ever
1,0,head towards rock football panera trip conway brunch action
0,1,rt pedroia heading boston possible knee surgery wtf wtf
0,1,brother asked houston nutt calling plays texas run middle run middle run middle
1,0,prepping final shot film wow wow wow wow wow wow
1,0,ha thats awesome great song
1,0,watching play ball
0,1,horrible news tonight total fucking mess feel helpless ill
1,0,navy wins love football
1,0,205 lovin
0,1,jets suck suck suck
0,1,congress installs windows bellybuttons actually see whats going around httpurlremoved
0,1,headed rm620 see fat guy carrying bicycle could use lift
0,1,wtf
0,1,bad santa bad
0,1,madness madness call madness
0,1,thats terribly sad
0,1,ugh well since thursday ive crying fucking baby ass mess suck depression
1,0,happy thanksgiving hope great meal great friends great fun
1,0,finished torchwood miracle day fantastic series love theyve pulled back scifi little great story lines
0,1,fucking hate fucking bitch time
1,0,drove office park mopac residents google oracle
0,1,lorks f1 sky fuck sky fuck fuck fuck f1 hobby
1,0,hope like amazing love
0,1,damn typos
1,0,people carlsbadistan referred
1,0,thats super cute happy birthday
1,0,briniging big guns oclock power hour tapping islands cast time walk
1,0,wow amazing great work
1,0,wow fantastic finish fantastic game awesome super bowl congrats 6th time steelers
1,0,celebrating wonderful husband happy birthday babe
1,0,wow perfect skies meteor shower falling every couple minutes huge bright awesome
0,1,hey apple im yer biggest fan photo captions mobileme galleries sux either words must click amp get much infoplease fix
1,0,good morning lovely tweeps
0,1,never thought would show work extra early work powerpoint
0,1,bad bus smelly bus bad bad bus biscuit
1,0,better lucky good
0,1,mad day good mad bad mad mad mad mad anyway
1,0,best lucky charm ever tonight thanks
1,0,also thank goodness walkthroughs
1,0,canada wins medal swimming wow come world
1,0,official sleeping river afternoon
0,1,sun smell
1,0,happy birthday amazingly awesome hope great one
0,1,okay losing due lack skill get outplayed hate losing due technical difficulty bullshit mad
0,1,2pm hour unproductivity
0,1,dont care dont care dont care dont care dont care dont care dont care dont care dont care dont care
1,0,today 8910 yay fun dates
1,0,chillin starbucks downtown sixth st waiting new orleans brass band start anyone going
0,1,damn lost power hate
0,1,feeling like dumb bitch fucking made things worse fuck
1,0,one political tweet month concluded
1,0,oh wow absolutely love idea behind httpurlremoved
1,0,rode relaxation miles royce city hunt county thanks frontage roads windy get today
1,0,love psych love love love love love love love shawn believe speech bull durham way superb
1,0,wow awesome bet feel nice relaxed great bday gift
1,0,amazing time tonight good laugh amazing friends grateful life
0,1,word complicated word
0,1,beginning write song called shoot face anyone lyrics would like add far shot face ah
0,1,11000 emails inbox thinly time cleaning
1,0,finished interview oh
1,0,wow whirlwind first day summer school activities far good kids excited im excited students seem excited
1,0,seeing los amigos invisibles last night insatiable craving listen latino disco funk
1,0,probably start thinking packing several days italy
0,1,wtf 82 wtf
1,0,fun like winning trivia
1,0,outstanding
0,1,angry angry fucking angry
1,0,thats funny mean cant imagine bein like hey uh dont thank okay lol funny haha funny
1,0,amazing experience great hospitality amazing insights thank everyone contributed supported otherwise participated
0,1,dirby control
1,0,11
1,0,hooray ive officially tweeted 6000 times lol
1,0,okay great production keen performers though awesome awesome seats
1,0,landed houston san jose costa rica
1,0,whew long day bowling
1,0,glazed cream filled donuts simple things keep going
1,0,might use volpaia
0,1,omg bad bad miss
1,0,another awesome night hooray good friends good food
0,1,fucking hate people money think god fu bitch set ur damn alarm clock leave alone
0,1,fear path dark side fear leads anger anger leads hate hate leads suffering yoda
1,0,thank brighton lovely fun jedward win
1,0,havent noticed much difference speed much cooler
1,0,epic win good game canada good enough
0,1,lol fun book yes mammo getting clear kinda fun getting squished never fun
1,0,super quiet shift today good kind
0,1,blah blah blah soccer blah blah angry standoff blah blah whatever look cute car httpurlremoved
0,1,whole heartedly vouch bastardness bastard coated bastard bastard filling
0,1,arizona shootings injured victim arrested accused threats latimescom httpurlremoved via
0,1,hate joomla hate joomla hate joomla hate joomla hate joomla hate joomla hate joomla hate joomla hate joomla hate joomla
0,1,boring hell
0,1,hell happened monopolies pissed pissed
0,1,cigar smell absolutely disgusting gross gross gross
1,0,awesome love kind socks theyre much fun dont care im 35 fun lol
0,1,fuck lost sock goddamn laundry
0,1,wtf wit dat news wtf bad news brown dead wtf
1,0,today marvelous work peaceful amp fun ended day yummy thai food wonderful friends
1,0,ive typography site im looking forward researching httpurlremoved
1,0,fun
0,1,hate hate hate blue shield
1,0,awesome good luck cant wait hear
1,0,mentioned possum kingdom im hearing toadies head
0,1,fucking hates traffic
1,0,wow busy day
1,0,bout blow blowup castle
1,0,chip kelly homie lane kiffen right
1,0,yrs hosting latkefest casa de haha bffs making latkes house tonight needless say yay yay yay
1,0,tell still go home run may drive toward red raider country texass
0,1,dont enough time anyone spare today
0,1,rip george kuchar terrible terrible loss
1,0,wow true blood good tonight
1,0,dogs puppets brits win win win thanks httpurlremoved
1,0,yay awesome evening marvelous company always yet marathon incomplete
0,1,damn country bastards
0,1,first rule computers dont lie people
1,0,love chicks awesome yay
1,0,friday friday fun fun fun
1,0,great food great stories great friends great chocolate fantastic night last night let christmas parties begin
1,0,tried starbucks via instant coffee feels watery yet flavor overly smooth bitter inoffensive amp better office brew
0,1,unisex bathrooms pc practical
1,0,comparison speed test speakeasynet 2nd google speed test search result saying 3258mbps down676mbps
0,1,fucking hate windows
0,1,pissed damn ups
1,0,made flight yay
0,1,trouble support vendor time call sales guy
1,0,love people say funny end posts lots love lol cute lol lt3
1,0,18 drinkings songs toast end prohibition httpurlremoved
1,0,yay sd offered take us supper yay dont cook yay
1,0,since lighter dont turn lights office 4pm
1,0,found 20 back pocket
1,0,swordfish italian dish
0,1,bloody hell
0,1,iphone reliable time warner cable takes real effort
0,1,rise google ascent facebook decline everyone else httpurlremoved
1,0,baylor may finally beat mack brown
1,0,bought new suit dillards today got tumi laptop bag birthday mother
0,1,south carolina newspaper apologizes dirty word sensitive prick bastards psa link 18 comments httpurlremoved
1,0,good morning tweethearts wants love
0,1,random morning broadband speed testhave 132mbps 61 need new hobby
1,0,rt change good change good change good change good change good change good
0,1,fuck steals laxatives badly need shit
0,1,contractor someone hired flogged writing site net knew linux shop
1,0,love working brilliant people especially love working brilliant hilarious people
1,0,told guy thought mohawk bad ass told tits bad ass
1,0,dreamed steelers first time last night never slept well
0,1,sad upset hurt annoyed frustrated spiteful angry plethora feelings choose today
0,1,fuck unicode think bring dat shit mah house awwww hell
1,0,woohoo good start
0,1,totally loss supper hate hate hate leftovers dont even suggest hate pathology even hate
0,1,damnit
0,1,cranky exhausted back sick fucking hell
1,0,vino bring date night need ringer two httpurlremoved
0,1,really wouldnt want strong funny sexy intelligent woman
0,1,perhaps saw diff segments earlier one described
1,0,yay 300 followers
1,0,wow impressed clemson tigers far love
1,0,got copy pearl jam november 2000 mail today
0,1,songs verdicts horrible boring boring boring bad hentai game theme bad acid trip
1,0,youve gotta calories go walk around walmart rogers zero
1,0,replay time
0,1,new lost damn
0,1,shagging bloody iphones hate hate hate
1,0,super exciting day data entry yay
1,0,found butterfly wing wrapped around stick got stick httpurlremoved
1,0,facebook isnt working trending lol thats funny
1,0,glad wasnt hosewas wondering celebrate team winning gasp rofl congrats said thru gritted teeth ha
1,0,daydreaming spring
0,1,youre aware twin six sell bicycles bicycle related apparel accessories
1,0,giants win id like think brought good luck atampt park awesome
1,0,lol lol lol
0,1,im fucking tired sbr tonight fucking stupid cancel suck
1,0,one insightful bout bp oil spill amp wetlands natl park service guy amp professor 2nite thx
0,1,emitting sad pathetic longing energy damn
1,0,boom shaka lacka
1,0,great joy iphone lost found wow authenticator rejoice
1,0,happy thanksgiving celebrate im thankful wonderful friends family awesome people online
1,0,listening listen nwa
1,0,watching ohio state dad
1,0,thrilled inspiring chat wonderful thanks susannah wisdom
0,1,hell u2 infiltrate library bad bad bad
0,1,yep atampts customer service terrible terrible terrible terrible ugh
0,1,hate blamed peoples shitty fucking code
1,0,love website beautiful beautiful beautiful
1,0,saw amazing huge beautiful rainbow
1,0,yay yay yay yay yay yay repeat times
1,0,good morning beautiful people happy tuesday
1,0,goodbye pax great games great people much fun
0,1,blah blah blah snow snow blah blah blah
1,0,gotta styro cup sweetie
0,1,think worthless little shit offends well fuck worthless little shit
0,1,cnn finally shifting alldiscovery news hurricane news
0,1,dad idiot fckng moron totaled carjst need save money wedding smething stupid httpurlremoved
1,0,harley dealership hubby dangerous yes fun oh yes
0,1,devil details
1,0,rt rt earthquake eastern canada maybe quebec finally separating lmao thats good one lol
0,1,forgot phone home great hope dont need
1,0,concept car design sometimes looks fun frankfurt motor show top 10 httpurlremoved
1,0,best drummer ever httpurlremoved
1,0,customer received bags really happy yaaay
1,0,good luck school tomorrow really hope works
0,1,scared shower lighting really bad gotta work mouth hurts
0,1,love get description someone shes nice really shes kind bitch
1,0,get media attention startup httpurlremoved
0,1,friend friend bet osama bin ladin ousted hitler mayor hell foursquare
1,0,person reblogged blog httpurlremoved
1,0,agreed haha
1,0,read journey httpurlremoved
0,1,ok im depressed pissed httpurlremoved
1,0,13 weeks term lol im excited blocks christmas party
1,0,pizza time
1,0,shiny happy people laughing
1,0,dont worry blank let worry blank
0,1,getting really tired firefox updates continually killing addons
0,1,much depends stranger
1,0,love lightnings
1,0,skiing much fun conditions perfect first trip stevens need make annual thing think
0,1,annoyed
0,1,really hate call tech desk always slammed busy hour music listen holding sucks
1,0,looking flights
1,0,feels good code forked improved
1,0,moving day
1,0,posted photo httpurlremoved
1,0,best nice fear turtle lol rt ah maryland home tarpans
0,1,still going hurt later
